adjustment_key,state,resource,family,observed_output_x,output_addition_y,plausibility_haircut_z,adjusted_output,denominator_units_per_cap,base_cap,adjusted_cap,minimum_operating_floor_cap,documented_working_floor_eligible,final_audited_cap,exception_status,problem_type,adjustment_reason,earliest_commercial_activity_year,flagship_scale_year,representative_max_year,representative_max_output,year_selection_reason,gdp_geography_used,gdp_geography_level,gdp_anchor_year,gdp_value_at_anchor_year,selected_resource_year,selection_mode,gdp_distance_ratio,gdp_comparability_status,target_estimation_method,interpolation_used,comparator_included_in_denominator,comparator_basket_coverage_share,selection_note,counterevidence_status,counterevidence_note,plausibility_1936_status,observed_output_x_reason,y_basis,y_reason,y_counterevidence_trigger,y_quantification_method,z_reason,audit_class,proxy_kind,proxy_native_unit,proxy_to_slot_note,citation_1_title,citation_1_url,citation_1_locator,citation_2_title,citation_2_url,citation_2_locator,calculation_note
west-transvaal::oil-discovered,West Transvaal,Oil (discovered),Oil,0.0,0.0,0.0,,,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,West Transvaal / Oil (discovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.
west-transvaal::oil-undiscovered,West Transvaal,Oil (undiscovered),Oil,0.0,0.0,0.0,,,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,West Transvaal / Oil (undiscovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.
west-transvaal::rubber-discovered,West Transvaal,Rubber (discovered),Rubber,0.0,0.0,0.0,,10000.0,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept discovered rubber disabled because no localized plantation chain or quantitative target observation survives the current provenance pass.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry does not defend a discovered rubber slot here.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,West Transvaal / Rubber (discovered) row in the proposal registry.,,,,Explicit zero retained for discovered rubber until localized plantation evidence is frozen.
west-transvaal::rubber-undiscovered,West Transvaal,Rubber (undiscovered),Rubber,0.0,0.0,0.0,,10000.0,0.0,,,no,0,manual_zero_exception,counterfactual checked and rejected,Latent-rubber model keeps this row as an explicit zero exception because the audited state footprint does not support a bounded plantation slot.,,,1936,0.0,Representative year is audited metadata only for the latent-rubber land-capacity model; rubber no longer uses GDP-selected output rows here.,,,,,,,,,,,20,,Rubber (undiscovered) is audited from direct effective commercial plantation hectares rather than GDP-selected latex output.,supports,Proposal registry rejects a latent rubber slot here; broad tropical suitability is not enough to keep the cap enabled.,pass,Rubber (undiscovered) now uses direct effective commercial plantation hectares from audited rubber land-class rows.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,West Transvaal / Rubber (undiscovered) row in the proposal registry.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,West Transvaal analogues are interior mixed-farming states rather than tropical plantation belts.,Explicit zero retained under the latent-rubber model because the audited state footprint does not support a bounded plantation slot.
eastern-transvaal::fishing,Eastern Transvaal,Fishing,Fishing,0.0,0.0,0.0,,5950.541160752551,,,,no,0,manual_zero_exception,,,,,,,,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,
eastern-transvaal::gold-mine,Eastern Transvaal,Gold Mine,Gold Mine,0.0,0.0,0.0,,4.638038205553189,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept the gold-mine slot at zero because there is no frozen target observation for a commercial gold-mine row in this state and the proposal registry does not defend one for the 1836-1936 horizon.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry rejects a standalone gold-mine slot here; any gold-family logic for this state stays out of the capped row until direct target evidence is frozen.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Eastern Transvaal / Gold Mine row in the proposal registry.,mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,Use alongside the proposal registry for state-level mining plausibility checks.,Explicit zero retained for Gold Mine despite a live comparator family because the target-side evidence chain is still absent.
eastern-transvaal::iron-mine,Eastern Transvaal,Iron Mine,Iron Mine,461343.0856535454,0.0,121077.55723777685,340265.5284157685,63712.72421147216,7.240988222733625,5.340621243668311,,no,6,,proxy moderation,Kept a bounded Eastern Transvaal iron row by retaining the 1964-1969 Ngwenya commercial chain inside the package's common 1940-equivalent frame; chronology Z handles the late start and keeps the row small.,1964,1969,1969,2200000.0,Representative year stays at 1969 because the package keeps Iron Mine inside the shared 1940-equivalent frame and the Ngwenya plateau is the closest GDP-selected commercial observation; chronology Z then penalizes the late 1964 start rather than reverting to a closest-to-1936 rule.,South Africa,national,2008,10977.146797,1969,gdp_match,0.42441434846266474,,,no,,,Selected candidate year 1969 because its GDP per capita is closest to the GBR 1940 reference anchor.,supports,"Ngwenya's commercial chain reveals bounded eastern escarpment iron potential, but it remains counterfactual support rather than direct 1936 in-state history because the mine sits across the Swaziland border and commercial output begins after 1940.",pass,Observed x uses the 1964 contract-average and 1969 plateau as a bounded Ngwenya commercial series normalized inside the common 1940-equivalent Iron Mine frame.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,Universal quantity-resource Z moderates the bounded Ngwenya proxy because the eastern commercial chain begins in 1964 while the representative benchmark sits in 1969.,proxy,Ngwenya regional iron-output proxy,t output,Commercial Ngwenya output is used as a bounded eastern escarpment proxy for the Eastern Transvaal iron row because no wholly in-state frozen mine-output chain survives.,Appraisal of a Railway Project in Swaziland,https://documents1.worldbank.org/curated/en/849141468340836597/pdf/multi0page.pdf,Original contract envisaged 15 million tons of iron ore over 1964-1974; used here as a 1.5Mt annualized early commercial anchor.,Swaziland Railways Project,https://documents1.worldbank.org/curated/en/344311468312334167/pdf/multi0page.pdf,Production was described as steady at about 2.2 million tons per annum since 1969.,Eastern Transvaal keeps a bounded Ngwenya iron row within the 1940-equivalent non-land framework; the 1969 benchmark is retained and chronology Z prevents late commercial output from becoming a large 1936-equivalent cap.
eastern-transvaal::lead-mine,Eastern Transvaal,Lead Mine,Lead Mine,0.0,0.0,0.0,,1424.3862580391383,,,,no,0,manual_zero_exception,,,,,,,,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,
eastern-transvaal::sulfur-mine,Eastern Transvaal,Sulfur Mine,Sulfur Mine,0.0,0.0,0.0,,724.5356827022321,,,,no,0,manual_zero_exception,,,,,,,,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,
eastern-transvaal::whaling,Eastern Transvaal,Whaling,Whaling,0.0,0.0,0.0,,,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept whaling disabled because the reviewed proposal registry and fisheries research do not identify this state as a meaningful commercial whaling producer in the 1836-1936 horizon.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry rejects a whaling slot here after checking the state against the family-level South Atlantic and Cape/Namibia whaling logic.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Eastern Transvaal / Whaling row in the proposal registry.,agriculture and fisheries research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Whaling section: keep the family on the Atlantic and Cape side, not as a generic slot for the whole coast or inland states.",Explicit zero retained for whaling because the state fails the commercial whaling slot test.
eastern-transvaal::gold-fields-discovered,Eastern Transvaal,Gold Fields (discovered),Gold Fields,0.0,0.0,0.0,,4.638038205553189,,,,no,0,manual_zero_exception,chronology,Removed the start-date discovered gold-field row because the state's recorded gold rushes begin after 1873 rather than existing as an already discovered 1836 field.,,,1936,,"The discovered slot is audited against the 1836 start date, and Eastern Transvaal's documented gold rushes begin only with Pilgrim's Rest in 1873 and Barberton in 1884.",South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,"Pilgrim's Rest and Barberton belong in the late-discovery precious-field logic, not in the 1836 discovered slot.",pass,No direct target observation is frozen for the start-date discovered slot; the state's gold evidence is chronological rather than an 1836 output anchor.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,Pilgrims Rest - Mpumalanga Museums,https://museums.mpg.gov.za/pilgrims-rest/,Pilgrim's Rest was the site of South Africa's first major gold rush in 1873.,Nelspruit Timeline 1815-1996 | South African History Online,https://sahistory.org.za/article/nelspruit-timeline-1815-1996,1873: gold is discovered in Pilgrims Rest; 1884: Barberton is established with the discovery of the Sheba reef.,"Explicit zero retained for the discovered slot because Eastern Transvaal's goldfields are late discoveries and are carried, if at all, by the undiscovered row."
eastern-transvaal::gold-fields-undiscovered,Eastern Transvaal,Gold Fields (undiscovered),Gold Fields,0.0,0.0,0.0,,4.638038205553189,,,,no,4,manual_special_field_exception,chronology,"Restored a small undiscovered precious-field row because the redesign deleted Pilgrim's Rest, Barberton, and northwestern Swaziland latent gold potential through missing target observations rather than counterevidence.",,,,,,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Eastern Transvaal still carries late precious-field potential because the state includes the post-1873 Pilgrim's Rest/Barberton sequence and the northwestern Swaziland gold belt.,pass,No direct target observation is currently frozen for this special-field row.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,Swaziland Mineral Resources Summary,https://www.gov.sz/images/stories/mining/Swaziland%20Mineral%20Resources%20Summary.pdf,"P14: gold occurrences in northwestern Swaziland were discovered over 100 years ago; mining occurred chiefly from 1882 to 1914 and 1920 to 1967, with reserves still remaining.",Nelspruit Timeline 1815-1996 | South African History Online,https://sahistory.org.za/article/nelspruit-timeline-1815-1996,1873: gold is discovered in Pilgrims Rest; 1884: Barberton is established with the discovery of the Sheba reef.,Explicit special-field exception retained at 4: chronology and localized goldfield evidence justify late precious-field potential even without a direct slot-quantification series.
eastern-transvaal::oil-discovered,Eastern Transvaal,Oil (discovered),Oil,0.0,0.0,0.0,,,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Eastern Transvaal / Oil (discovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.
eastern-transvaal::oil-undiscovered,Eastern Transvaal,Oil (undiscovered),Oil,0.0,0.0,0.0,,,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Eastern Transvaal / Oil (undiscovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.
eastern-transvaal::rubber-discovered,Eastern Transvaal,Rubber (discovered),Rubber,0.0,0.0,0.0,,10000.0,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept discovered rubber disabled because no localized plantation chain or quantitative target observation survives the current provenance pass.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry does not defend a discovered rubber slot here.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Eastern Transvaal / Rubber (discovered) row in the proposal registry.,,,,Explicit zero retained for discovered rubber until localized plantation evidence is frozen.
eastern-transvaal::rubber-undiscovered,Eastern Transvaal,Rubber (undiscovered),Rubber,0.0,0.0,0.0,,10000.0,0.0,,,no,0,manual_zero_exception,counterfactual checked and rejected,Latent-rubber model keeps this row as an explicit zero exception because the audited state footprint does not support a bounded plantation slot.,,,1936,0.0,Representative year is audited metadata only for the latent-rubber land-capacity model; rubber no longer uses GDP-selected output rows here.,,,,,,,,,,,20,,Rubber (undiscovered) is audited from direct effective commercial plantation hectares rather than GDP-selected latex output.,supports,Proposal registry rejects a latent rubber slot here; broad tropical suitability is not enough to keep the cap enabled.,pass,Rubber (undiscovered) now uses direct effective commercial plantation hectares from audited rubber land-class rows.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Eastern Transvaal / Rubber (undiscovered) row in the proposal registry.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"[^mpu]: Mpumalanga and Eswatini support sugarcane, tobacco, citrus, subtropical fruits, and forestry, but that broad humid profile is not treated as automatic rubber support.",Explicit zero retained under the latent-rubber model because the audited state footprint does not support a bounded plantation slot.
northern-transvaal::fishing,Northern Transvaal,Fishing,Fishing,0.0,0.0,0.0,,5950.541160752551,,,,no,0,manual_zero_exception,,,,,,,,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,
northern-transvaal::gold-mine,Northern Transvaal,Gold Mine,Gold Mine,0.0,0.0,0.0,,4.638038205553189,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept the gold-mine slot at zero because there is no frozen target observation for a commercial gold-mine row in this state and the proposal registry does not defend one for the 1836-1936 horizon.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry rejects a standalone gold-mine slot here; any gold-family logic for this state stays out of the capped row until direct target evidence is frozen.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Northern Transvaal / Gold Mine row in the proposal registry.,mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,Use alongside the proposal registry for state-level mining plausibility checks.,Explicit zero retained for Gold Mine despite a live comparator family because the target-side evidence chain is still absent.
northern-transvaal::lead-mine,Northern Transvaal,Lead Mine,Lead Mine,0.0,0.0,0.0,,1424.3862580391383,,,,no,0,manual_zero_exception,,,,,,,,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,
northern-transvaal::sulfur-mine,Northern Transvaal,Sulfur Mine,Sulfur Mine,0.0,0.0,0.0,,724.5356827022321,,,,no,0,manual_zero_exception,,,,,,,,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,
northern-transvaal::whaling,Northern Transvaal,Whaling,Whaling,0.0,0.0,0.0,,,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept whaling disabled because the reviewed proposal registry and fisheries research do not identify this state as a meaningful commercial whaling producer in the 1836-1936 horizon.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry rejects a whaling slot here after checking the state against the family-level South Atlantic and Cape/Namibia whaling logic.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Northern Transvaal / Whaling row in the proposal registry.,agriculture and fisheries research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Whaling section: keep the family on the Atlantic and Cape side, not as a generic slot for the whole coast or inland states.",Explicit zero retained for whaling because the state fails the commercial whaling slot test.
northern-transvaal::gold-fields-discovered,Northern Transvaal,Gold Fields (discovered),Gold Fields,0.0,0.0,0.0,,4.638038205553189,,,,no,0,manual_zero_exception,,,,,,,,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,
northern-transvaal::gold-fields-undiscovered,Northern Transvaal,Gold Fields (undiscovered),Gold Fields,0.0,0.0,0.0,,4.638038205553189,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Removed the latent gold-fields holdover because the reviewed Transvaal gold evidence stays Rand-centered and does not localize a separate Northern Transvaal special field.,,,1936,,The undiscovered slot was rechecked against Transvaal goldfield chronology and the northern split still lacks a distinct latent precious-field chain.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,The Transvaal gold story remains centered on the Witwatersrand and eastern rushes rather than a separate Northern Transvaal latent field.,pass,"No direct target observation is frozen for this special-field row; the state keeps agriculture, coal, and iron anchors instead of a latent northern goldfield chain.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,1911 Encyclopædia Britannica/Gold,https://en.wikisource.org/wiki/1911_Encyclop%C3%A6dia_Britannica/Gold,"Witwatersrand section: the greatest Transvaal discovery was the Witwatersrand, and in 1899 80% of output came from within 12 miles of Johannesburg.",Page:Statesman's Year-Book 1913.djvu/341,https://en.wikisource.org/wiki/Page%3AStatesman%27s_Year-Book_1913.djvu/341,"Production and Industry section: the province is mainly stock-raising and agricultural, with gold output reported provincially rather than as a separate northern field.",Explicit zero retained for the latent gold-fields slot because the audited northern split still lacks a localized precious-field chain.
northern-transvaal::oil-discovered,Northern Transvaal,Oil (discovered),Oil,0.0,0.0,0.0,,,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Northern Transvaal / Oil (discovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.
northern-transvaal::oil-undiscovered,Northern Transvaal,Oil (undiscovered),Oil,0.0,0.0,0.0,,,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Northern Transvaal / Oil (undiscovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.
northern-transvaal::rubber-discovered,Northern Transvaal,Rubber (discovered),Rubber,0.0,0.0,0.0,,10000.0,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept discovered rubber disabled because no localized plantation chain or quantitative target observation survives the current provenance pass.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry does not defend a discovered rubber slot here.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Northern Transvaal / Rubber (discovered) row in the proposal registry.,,,,Explicit zero retained for discovered rubber until localized plantation evidence is frozen.
northern-transvaal::rubber-undiscovered,Northern Transvaal,Rubber (undiscovered),Rubber,0.0,0.0,0.0,,10000.0,0.0,,,no,0,manual_zero_exception,counterfactual checked and rejected,Latent-rubber model keeps this row as an explicit zero exception because the audited state footprint does not support a bounded plantation slot.,,,1936,0.0,Representative year is audited metadata only for the latent-rubber land-capacity model; rubber no longer uses GDP-selected output rows here.,,,,,,,,,,,20,,Rubber (undiscovered) is audited from direct effective commercial plantation hectares rather than GDP-selected latex output.,supports,Proposal registry rejects a latent rubber slot here; broad tropical suitability is not enough to keep the cap enabled.,pass,Rubber (undiscovered) now uses direct effective commercial plantation hectares from audited rubber land-class rows.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Northern Transvaal / Rubber (undiscovered) row in the proposal registry.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"[^lim]: Limpopo combines citrus, maize, tea/tobacco/groundnuts, cattle, goats, and sheep in a warm subtropical-to-montane gradient rather than a documented rubber belt.",Explicit zero retained under the latent-rubber model because the audited state footprint does not support a bounded plantation slot.
transorangia::fishing,Transorangia,Fishing,Fishing,0.0,0.0,0.0,,5950.541160752551,,,,no,0,manual_zero_exception,,,,,,,,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,
transorangia::gold-mine,Transorangia,Gold Mine,Gold Mine,0.0,0.0,0.0,,4.638038205553189,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept the gold-mine slot at zero because there is no frozen target observation for a commercial gold-mine row in this state and the proposal registry does not defend one for the 1836-1936 horizon.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry rejects a standalone gold-mine slot here; any gold-family logic for this state stays out of the capped row until direct target evidence is frozen.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Transorangia / Gold Mine row in the proposal registry.,mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,Use alongside the proposal registry for state-level mining plausibility checks.,Explicit zero retained for Gold Mine despite a live comparator family because the target-side evidence chain is still absent.
