entity,resource,gdp_geography_used,gdp_geography_level,gdp_reference_value,gdp_anchor_year,gdp_value_at_anchor_year,selected_resource_year,selection_mode,gdp_distance_ratio,gdp_comparability_status,target_estimation_method,interpolation_used,comparator_included_in_denominator,comparator_basket_coverage_share,selection_note
Delaware,Fishing,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Maryland,Fishing,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Virginia,Fishing,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
North Carolina,Fishing,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
South Carolina,Fishing,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Florida Atlantic Coast,Fishing,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Florida Gulf Coast,Fishing,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Florida (total),Fishing,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Louisiana,Fishing,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Texas,Fishing,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Washington,Fishing,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
Oregon,Fishing,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
California,Fishing,United States,national,10928.0,1923,11071.242978,1950,gdp_match,0.3945827232796486,,,no,,,Selected candidate year 1950 because its GDP per capita is closest to the GBR 1940 reference anchor.
