state,resource,question,source_a_title,source_a_url,source_a_locator,source_b_title,source_b_url,source_b_locator,result,decision,row_id,row_status,supersedes_row_id,state_pass_index,changed_on,change_reason
Eastern Cape,Banana Plantation,Do Eastern Cape banana-growing pockets justify a full plantation row?,Report on the profiling of the current,https://www.nda.gov.za/images/Branches/FoodSecurityAgrReform/national-extension-support/natextensionsupp-research-report/profilereport19nov2009.pdf,Section 3.2 General profile of agriculture in the Eastern Cape: fruit includes bananas and avocado.,COMMODITY NAME: BANANA,https://www.nda.gov.za/phocadownloadpap/Agricultural_Marketing_Commodity_Profiles/Banana%20market%20value%20chain%20profile%202012.pdf,Provincial export-share table shows Eastern Cape at 0.0 across the period displayed while KwaZulu-Natal and Limpopo dominate commercial banana trade.,Counterfactual checked and rejected.,Banana Plantation remains disabled in Eastern Cape.,counterevidence-0041,active,,3,2026-04-22,Eastern Cape state pass: kept bananas out because the state shows fruit pockets but not a defended plantation chain.
Eastern Cape,Cotton Plantation,Does the late Eastern Cape cotton project justify a direct historical plantation row?,A PROFILE OF THE SOUTH AFRICAN COTTON MARKET VALUE CHAIN,https://www.nda.gov.za/phocadownloadpap/Agricultural_Marketing_Commodity_Profiles/COTTON%20MARKET%20VALUE%20CHAIN%20PROFILE%202012.pdf,"The Eastern Cape cotton project involved 500 emerging farmers from Addo, Tyefu, Middeldrift, Keiskammahoek, Qamata, Kat River and the Karoo, and a new gin was commissioned in 2005/06.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"[^ec]: Eastern Cape has merino sheep, Angora goats, dairy cattle, inland wheat/maize/sorghum, and coastal tobacco/potatoes.",Counterfactual checked and rejected.,Cotton Plantation remains disabled in Eastern Cape.,counterevidence-0042,active,,3,2026-04-22,Eastern Cape state pass: kept cotton out because the evidence points to a late development project rather than a defended 1836-1936 plantation row.
West Transvaal,Lead Mine,Does the Argent district justify a small active lead row in the western Transvaal split?,Argent Silver Mine | The South African Archaeological Society,https://www.archaeology.org.za/events/argent-silver-mine,"Directions place Argent on the N12 toward Witbank, about 20 km beyond the Delmas on-ramp, at the Argent-Dwaarsfontein turnoff.","East Trench, Transvaal Mine, Dwarsfontein Farm, Argent, Delmas, Victor Khanye Local Municipality, Nkangala District Municipality, Mpumalanga, South Africa",https://www.mindat.org/loc-53781.html,"The mine locality is listed in Victor Khanye, Nkangala District, Mpumalanga, with Delmas as the nearest settlement.",Counterfactual checked and rejected for this state split.,Lead remains disabled in West Transvaal because the Argent district sits in the eastern split rather than the western Gauteng/Klerksdorp row.,counterevidence-0043,active,counterevidence-0028,4,2026-04-22,West Transvaal state pass: corrected the Argent lead row after rechecking the district location against the split state footprint.
West Transvaal,Iron Mine,Do Pretoria Iron Mines and the Magaliesberg-Marico belt justify a nonzero West Transvaal iron row?,"Old Pretoria Iron Mines Ltd Buildings, Iscor, Pretoria | South African History Online",https://sahistory.org.za/place/old-pretoria-iron-mines-ltd-buildings-iscor-pretoria,Pretoria Iron Mines produced cast iron from indigenous ore on a large scale in 1918.,Iron Age mining in the Transvaal,https://www.saimm.co.za/Journal/v080n04p156.pdf,Magaliesberg ranges continue westward into the Marico district and the area around Boons siding is described as riddled with ancient iron workings.,"Counterfactual checked; local ore and smelting are real, but the evidence remains too underquantified for a dedicated commercial mine row.",Iron Mine remains disabled in West Transvaal.,counterevidence-0044,superseded,,4,2026-04-22,West Transvaal state pass: documented the hard-focus iron recheck against Pretoria Iron Mines and the Magaliesberg-Marico belt.
Eastern Transvaal,Gold Fields (discovered),Should Pilgrim's Rest and Barberton be active in 1836?,Pilgrims Rest - Mpumalanga Museums,https://museums.mpg.gov.za/pilgrims-rest/,Pilgrim's Rest was the site of South Africa's first major gold rush in 1873.,Nelspruit Timeline 1815-1996 | South African History Online,https://sahistory.org.za/article/nelspruit-timeline-1815-1996,1873: gold is discovered in Pilgrims Rest; 1884: Barberton is established with the discovery of the Sheba reef.,Counterfactual checked and rejected.,Eastern Transvaal keeps the discovered precious-field slot at zero and reserves any goldfield support for the late undiscovered row.,counterevidence-0045,active,counterevidence-0013,5,2026-04-22,Eastern Transvaal state pass: refreshed the discovered-slot gold chronology with Pilgrim's Rest and Barberton citations.
Eastern Transvaal,Gold Fields (undiscovered),Should the eastern goldfield belt stay at zero once the discovered slot is removed?,Swaziland Mineral Resources Summary,https://www.gov.sz/images/stories/mining/Swaziland%20Mineral%20Resources%20Summary.pdf,"P14: gold occurrences in northwestern Swaziland were discovered over 100 years ago; mining occurred chiefly from 1882 to 1914 and 1920 to 1967, with reserves still remaining.",Nelspruit Timeline 1815-1996 | South African History Online,https://sahistory.org.za/article/nelspruit-timeline-1815-1996,1873: gold is discovered in Pilgrims Rest; 1884: Barberton is established with the discovery of the Sheba reef.,Counterfactual checked; Eastern Transvaal has late localized precious-field potential and should not stay at zero.,Eastern Transvaal keeps a small undiscovered precious-field row.,counterevidence-0046,active,,5,2026-04-22,Eastern Transvaal state pass: restored a small undiscovered gold-field row after rechecking the eastern goldfield belt.
Eastern Transvaal,Iron Mine,Does Ngwenya justify a dedicated Eastern Transvaal iron row by 1936?,Geosites,https://www.gov.sz/images/natural-resources/Geosites.pdf,Ngwenya: early Bantu settlers mined hematite from about 450 AD; modern commercial iron mining began in 1964 and ended in 1977.,Swaziland Mineral Resources Summary,https://www.gov.sz/images/stories/mining/Swaziland%20Mineral%20Resources%20Summary.pdf,"P13-P14: the geological inventory lists large iron formations across northwestern and southern Swaziland, confirming real ore presence in the eastern state footprint.",Counterfactual checked and rejected for a commercial 1836-1936 mine row.,Iron Mine remains disabled in Eastern Transvaal.,counterevidence-0047,superseded,,5,2026-04-22,Superseded by counterevidence-0054 after freezing the bounded Ngwenya commercial chain.
Drakensberg,Iron Mine,"Do Dundee, Vryheid, Sweetwaters, and Alverstone justify a nonzero Drakensberg iron row?",The Hills Above Pietermaritzburg: An Appreciation,https://hiltonvillage.co.za/images/The_Hills_Above_Pietermaritzburg.pdf,"Sweetwaters and Winterskloof fall under uMngeni Municipality, and the Sweetwaters iron mine/ironworks are discussed there, placing that iron evidence in the Pietermaritzburg-side Natal belt rather than Lesotho.",National Climate Change Policy 2017-2027 - Government of Lesotho,https://www.gov.ls/wp-content/uploads/2019/02/National-Climate-Change-Policy-2017-2027.pdf,"Policy Statement 5 lists Lesotho's main mineral resources as diamonds, dolerite, sandstone and clay, with other minerals treated as unexplored rather than as an auditable commercial iron industry.",Counterfactual checked and rejected for this state split.,Iron Mine remains disabled in Drakensberg because the rechecked Natal-era iron occurrences stay outside the Lesotho footprint and no localized commercial iron chain was frozen for 1836-1936.,counterevidence-0048,active,,8,2026-04-22,Drakensberg state pass: logged the hard-focus iron trigger recheck against off-footprint Natal localities.
Lourenço Marques,Coal Mine,Could southern Mozambique support a meaningful coal row instead of a crop-and-port economy?,The Mineral Industry of Mozambique in 2016,https://pubs.usgs.gov/myb/vol3/2016/myb3-2016-mozambique.pdf,"Coal section / p. 3 and Table 2 / p. 7: Chirodze, Minas Moatize, and the major coal operations listed in the yearbook are in Tete Province.",mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,"Mozambique section: Tete / Moatize is the coal-state, while the rest of Mozambique is not prioritized for coal.",Counterfactual checked and rejected.,Coal remains disabled in Lourenço Marques because the reviewed Mozambican coal chain is Tete-localized rather than Maputo-Gaza.,counterevidence-0051,active,counterevidence-0020,10,2026-04-22,Lourenço Marques state pass: replaced the broad coal counterevidence row with cited Tete localization.
Lourenço Marques,Wood,Should Lourenço Marques carry a forestry row once Mozambique plantation potential is considered?,Atlas of Mozambique Forest Resource Reference Map,https://www.dinaf.gov.mz/wp-content/uploads/2021/12/Atlas_Mozambique_Forest_Reference.pdf,"Table 4 / p. 20: forest plantation area is 149 ha in Maputo and 0 ha in Gaza, versus much larger plantation figures in provinces such as Sofala.",Tropical forest resources assessment project - Forest resource of Tropical Africa Vol. II,https://www.fao.org/4/ad910e/AD910E18.htm,"Plantations section: Maputo and Gaza plantations were public dune-fixation and eucalypt plantings, while the bulk of plantations concentrated in Manica and Sofala.",Counterfactual checked and rejected.,Wood remains disabled in Lourenço Marques because the reviewed Maputo-Gaza footprint has only token plantation area and no distinct commercial forestry belt.,counterevidence-0052,active,counterevidence-0034,10,2026-04-22,Lourenço Marques state pass: replaced the broad forestry counterevidence row with localized plantation evidence.
West Transvaal,Iron Mine,Does the Pretoria-Magaliesberg iron evidence justify keeping some bounded commercial row instead of a hard zero?,"Old Pretoria Iron Mines Ltd Buildings, Iscor, Pretoria | South African History Online",https://sahistory.org.za/place/old-pretoria-iron-mines-ltd-buildings-iscor-pretoria,Pretoria Iron Mines produced cast iron from indigenous ore on a large scale in 1918.,Projected Pretoria 1940 target via global Iron Mine growth rates,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/Spes Bona - A Southern Africa Flavour Pack/Docs/resources/data/raw/growth_anchor_series.csv,The 1918 Pretoria output anchor is carried forward to the 1940 target horizon via the package's frozen Iron Mine growth series.,bounded_row_retained,"West Transvaal keeps only a very small bounded iron row; Pretoria history is real, but the projected 1940 chain remains too small for a larger cap.",counterevidence-0053,superseded,counterevidence-0044,0,2026-04-23,Superseded by counterevidence-0056 during the West Transvaal acceptance pass.
West Transvaal,Iron Mine,Does the Pretoria-Magaliesberg iron evidence justify keeping some bounded commercial row instead of a hard zero?,Water and Wastewater Management in the Iron and Steel Industry (Ed. 1),https://www.wrc.org.za/wp-content/uploads/mdocs/TT%20705-16.pdf,"p. 21: South Africa's first ferrous ore mine in Pretoria West produced approximately 4 000 tonnes of pig iron between 1918 and 1921.",Projected Pretoria 1940 target via global Iron Mine growth rates,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/Spes Bona - A Southern Africa Flavour Pack/Docs/resources/data/raw/growth_anchor_series.csv,The Pretoria pig-iron chain is carried forward to the 1940 target horizon via the package's frozen Iron Mine growth series.,bounded_row_retained,"West Transvaal keeps only a very small bounded iron row: direct Pretoria history is real, and the package's 1940-equivalent projection still supports only a one-cap local row rather than a larger commercial basin.",counterevidence-0056,active,counterevidence-0053,4,2026-04-23,West Transvaal acceptance pass: refreshed the bounded Pretoria iron decision after the tracker lag.
Eastern Transvaal,Iron Mine,Does Ngwenya justify a bounded eastern commercial iron row once late chronology is penalized?,Appraisal of a Railway Project in Swaziland,https://documents1.worldbank.org/curated/en/849141468340836597/pdf/multi0page.pdf,Original contract envisaged 15 million tons of iron ore over 1964-1974; used as a 1.5Mt annualized early commercial anchor.,Swaziland Railways Project,https://documents1.worldbank.org/curated/en/344311468312334167/pdf/multi0page.pdf,Production was described as steady at about 2.2 million tons per annum since 1969.,bounded_row_retained,"Eastern Transvaal keeps a bounded iron row based on the Ngwenya commercial chain, but chronology Z penalizes it heavily because the commercial phase starts after 1940.",counterevidence-0054,superseded,counterevidence-0047,0,2026-04-23,Superseded by counterevidence-0057 during the Eastern Transvaal acceptance pass.
Eastern Transvaal,Iron Mine,Does Ngwenya justify a bounded eastern commercial iron row once late chronology is penalized?,Appraisal of a Railway Project in Swaziland,https://documents1.worldbank.org/curated/en/849141468340836597/pdf/multi0page.pdf,Original contract envisaged 15 million tons of iron ore over 1964-1974; used as a 1.5Mt annualized early commercial anchor.,Swaziland Railways Project,https://documents1.worldbank.org/curated/en/344311468312334167/pdf/multi0page.pdf,Production was described as steady at about 2.2 million tons per annum since 1969.,bounded_row_retained,"Eastern Transvaal keeps a bounded iron row within the package's 1940-equivalent non-land framework: the Ngwenya commercial chain survives as localized counterfactual support, but chronology Z keeps the late-start row small.",counterevidence-0057,active,counterevidence-0054,5,2026-04-23,Eastern Transvaal acceptance pass: refreshed the bounded Ngwenya iron decision after the tracker lag.
Cape Colony,Tea Plantation,Does Western Cape rooibos acreage justify a Tea Plantation row for Cape Colony?,Western Cape Agricultural Sector Profile: 2022,https://www.westerncape.gov.za/agriculture/files/wcg-blob-files?file=2024-06%2F2022-wc-agric-sector-profile.pdf&type=file,"pp. 17-18, Table 4.2 and summary points: the province's tobacco/teas/hops acreage is concentrated on the West Coast and described through a rooibos-heavy crop mix.",Rooibos Tea: Production in the Overberg,https://www.elsenburg.com/wp-content/uploads/2022/03/2020-Rooibos-Tea-in-the-Overberg.pdf,"pp. 4-5 and 18: rooibos is concentrated in Cederberg, while Overberg commercial expansion only starts around 2010.",Counterfactual checked and rejected.,"Tea remains disabled in Cape Colony because the Western Cape's recorded tea acreage is rooibos, with later commercial expansion tied to modern Cederberg/Overberg herbal-tea production rather than a 1836-1936 tea-plantation belt.",counterevidence-0055,active,,1,2026-04-23,Cape Colony state pass: added a localized tea counterevidence row distinguishing rooibos acreage from the in-game tea slot.
