state,resource,problem_type,output_addition_y,plausibility_haircut_z,minimum_operating_floor_cap,documented_working_floor_eligible,exception_status,exception_final_cap,earliest_commercial_activity_year,flagship_scale_year,representative_max_year,representative_max_output,year_selection_reason,counterevidence_status,counterevidence_note,plausibility_1936_status,observed_output_x_reason,y_basis,y_reason,y_counterevidence_trigger,y_quantification_method,z_reason,audit_class,adjustment_reason,proxy_kind,proxy_native_unit,proxy_to_slot_note,citation_1_title,citation_1_url,citation_1_locator,citation_2_title,citation_2_url,citation_2_locator,calculation_note,row_id,row_status,supersedes_row_id,state_pass_index,changed_on,change_reason
Eastern Transvaal,Gold Mine,counterfactual checked and rejected,0.0,0.0,,,manual_zero_exception,0,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry rejects a standalone gold-mine slot here; any gold-family logic for this state stays out of the capped row until direct target evidence is frozen.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept the gold-mine slot at zero because there is no frozen target observation for a commercial gold-mine row in this state and the proposal registry does not defend one for the 1836-1936 horizon.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Eastern Transvaal / Gold Mine row in the proposal registry.,mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,Use alongside the proposal registry for state-level mining plausibility checks.,Explicit zero retained for Gold Mine despite a live comparator family because the target-side evidence chain is still absent.,adjustment-input-0059,active,,0,,baseline row
Eastern Transvaal,Iron Mine,,0,0.0,,,manual_zero_exception,0,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,,adjustment-input-0060,superseded,,0,2026-04-22,Superseded by adjustment-input-0173 during the Eastern Transvaal state pass.
Eastern Transvaal,Lead Mine,,0,0.0,,,manual_zero_exception,0,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,,adjustment-input-0061,active,,0,,baseline row
Eastern Transvaal,Sulfur Mine,,0,0.0,,,manual_zero_exception,0,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,,adjustment-input-0062,active,,0,,baseline row
Eastern Transvaal,Whaling,counterfactual checked and rejected,0.0,0.0,,,manual_zero_exception,0,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry rejects a whaling slot here after checking the state against the family-level South Atlantic and Cape/Namibia whaling logic.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept whaling disabled because the reviewed proposal registry and fisheries research do not identify this state as a meaningful commercial whaling producer in the 1836-1936 horizon.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Eastern Transvaal / Whaling row in the proposal registry.,agriculture and fisheries research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Whaling section: keep the family on the Atlantic and Cape side, not as a generic slot for the whole coast or inland states.",Explicit zero retained for whaling because the state fails the commercial whaling slot test.,adjustment-input-0063,active,,0,,baseline row
Eastern Transvaal,Wood,,0,0.0,,,,,,,2020,348111.0,Representative year uses the Mpumalanga plantation-area benchmark because it captures the broader eastern forestry belt directly in managed hectares.,supports,Eastern Transvaal has direct managed-forestry support and no longer needs a comparator fill.,pass,Eastern Transvaal target row now uses the broader Mpumalanga managed-forestry area rather than the small 1930 Swaziland acreage anchor.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,direct,"Managed-forestry redesign replaces the old weak-target wood row with direct Mpumalanga plantation area, so the legacy giant Y is removed.",,,,Report on Commercial Timber Resources and Primary Roundwood Processing in South Africa 2019/2020,https://www.dffe.gov.za/sites/default/files/reports/research/forestry/annualreport_commercialtimberresources_primaryroundwoodprocessing2019to2020.pdf,"Table 20: Mpumalanga plantation area in 2019/20 = 348,111 ha.",cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,The wetter eastern escarpment supports a stronger timber position than the dry interior grazing states.,Managed-forestry redesign replaces the small Swaziland proxy anchor with direct Mpumalanga plantation area; no comparator-bounded Y survives.,adjustment-input-0064,superseded,,0,2026-04-22,Superseded by adjustment-input-0174 during the Eastern Transvaal state pass.
Eastern Transvaal,Gold Fields (discovered),,0,0.0,,,manual_zero_exception,0,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,,adjustment-input-0065,superseded,,0,2026-04-22,Superseded by adjustment-input-0175 during the Eastern Transvaal state pass.
Eastern Transvaal,Gold Fields (undiscovered),,0,0.0,,,manual_zero_exception,0,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,,adjustment-input-0066,superseded,,0,2026-04-22,Superseded by adjustment-input-0176 during the Eastern Transvaal state pass.
Eastern Transvaal,Oil (discovered),counterfactual checked and rejected,0.0,0.0,,,manual_zero_exception,0,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Eastern Transvaal / Oil (discovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.,adjustment-input-0067,active,,0,,baseline row
Eastern Transvaal,Oil (undiscovered),counterfactual checked and rejected,0.0,0.0,,,manual_zero_exception,0,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Eastern Transvaal / Oil (undiscovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.,adjustment-input-0068,active,,0,,baseline row
Eastern Transvaal,Rubber (discovered),counterfactual checked and rejected,0.0,0.0,,,manual_zero_exception,0,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry does not defend a discovered rubber slot here.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept discovered rubber disabled because no localized plantation chain or quantitative target observation survives the current provenance pass.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Eastern Transvaal / Rubber (discovered) row in the proposal registry.,,,,Explicit zero retained for discovered rubber until localized plantation evidence is frozen.,adjustment-input-0069,active,,0,,baseline row
Eastern Transvaal,Rubber (undiscovered),counterfactual checked and rejected,0.0,0.0,,,manual_zero_exception,0,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry rejects a latent rubber slot here; broad tropical suitability is not enough to keep the cap enabled.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept undiscovered rubber disabled because the current package still lacks a localized plantation chain or quantitative target observation strong enough to defend a latent rubber slot.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Eastern Transvaal / Rubber (undiscovered) row in the proposal registry.,,,,Explicit zero retained for undiscovered rubber until a localized plantation evidence chain is frozen.,adjustment-input-0070,active,,0,,baseline row
Northern Transvaal,Arable Land,,0.0,0.0,,,,,,,1936,,Arable land capacity is audited as broad plausible 1936 commercial potential rather than GDP-selected realized output.,supports,Land-capacity model replaces the old output-gap reconstruction for arable rows.,pass,Observed x is direct effective commercial agricultural hectares from audited land-class rows.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,direct,Land-capacity model uses direct effective commercial hectares; legacy output-gap uplift is retired.,,,,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Northern Transvaal section; maize, cotton, and ranching mixed-farming profile.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,Northern Transvaal comparator basket and weighted agricultural matches.,Arable now uses direct land-capacity x with no legacy output-gap Y or GDP/output smoothing.,adjustment-input-0071,active,,0,,baseline row
Northern Transvaal,Fishing,,0,0.0,,,manual_zero_exception,0,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,,adjustment-input-0072,active,,0,,baseline row
Northern Transvaal,Gold Mine,counterfactual checked and rejected,0.0,0.0,,,manual_zero_exception,0,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry rejects a standalone gold-mine slot here; any gold-family logic for this state stays out of the capped row until direct target evidence is frozen.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept the gold-mine slot at zero because there is no frozen target observation for a commercial gold-mine row in this state and the proposal registry does not defend one for the 1836-1936 horizon.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Northern Transvaal / Gold Mine row in the proposal registry.,mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,Use alongside the proposal registry for state-level mining plausibility checks.,Explicit zero retained for Gold Mine despite a live comparator family because the target-side evidence chain is still absent.,adjustment-input-0073,active,,0,,baseline row
Northern Transvaal,Lead Mine,,0,0.0,,,manual_zero_exception,0,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,,adjustment-input-0074,active,,0,,baseline row
Northern Transvaal,Sulfur Mine,,0,0.0,,,manual_zero_exception,0,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,,adjustment-input-0075,active,,0,,baseline row
Northern Transvaal,Whaling,counterfactual checked and rejected,0.0,0.0,,,manual_zero_exception,0,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry rejects a whaling slot here after checking the state against the family-level South Atlantic and Cape/Namibia whaling logic.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept whaling disabled because the reviewed proposal registry and fisheries research do not identify this state as a meaningful commercial whaling producer in the 1836-1936 horizon.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Northern Transvaal / Whaling row in the proposal registry.,agriculture and fisheries research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Whaling section: keep the family on the Atlantic and Cape side, not as a generic slot for the whole coast or inland states.",Explicit zero retained for whaling because the state fails the commercial whaling slot test.,adjustment-input-0076,active,,0,,baseline row
Northern Transvaal,Wood,,0,0.0,,,,,,,1936,32589.0,Representative year uses the Limpopo plantation-area benchmark because it demonstrates a small but real commercial timber sector in the state footprint.,supports,Northern Transvaal has a small but real commercial forestry sector; zero was too strict.,pass,Northern Transvaal wood now uses direct effective commercial forestry hectares built from audited plantation-fringe rows.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,direct,Potential-forestry model replaces the old weak zero with a small direct forestry row for the Limpopo plantation fringe.,,,,Report on Commercial Timber Resources and Primary Roundwood Processing in South Africa 2019/2020,https://www.dffe.gov.za/sites/default/files/reports/research/forestry/annualreport_commercialtimberresources_primaryroundwoodprocessing2019to2020.pdf,"Table 20 and Limpopo section: 32,589 ha of commercial timber plantations were recorded in Limpopo in 2019/20.",Forestry | South African Government,https://www.gov.za/af/about-sa/forestry,"Commercial forestry contributes about 0.6% to Limpopo regional GDP; Limpopo is small in the sector, but not absent.",Potential-forestry redesign now treats Northern Transvaal as a small commercial-forestry fringe instead of a hard zero.,adjustment-input-0077,active,,0,,baseline row
Northern Transvaal,Gold Fields (discovered),,0,0.0,,,manual_zero_exception,0,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,,adjustment-input-0078,active,,0,,baseline row
Northern Transvaal,Gold Fields (undiscovered),,0,0.0,,,manual_zero_exception,0,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,,adjustment-input-0079,superseded,,0,2026-04-22,Superseded by adjustment-input-0179 during the Northern Transvaal state pass.
Northern Transvaal,Oil (discovered),counterfactual checked and rejected,0.0,0.0,,,manual_zero_exception,0,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Northern Transvaal / Oil (discovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.,adjustment-input-0080,active,,0,,baseline row
Northern Transvaal,Oil (undiscovered),counterfactual checked and rejected,0.0,0.0,,,manual_zero_exception,0,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Northern Transvaal / Oil (undiscovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.,adjustment-input-0081,active,,0,,baseline row
Northern Transvaal,Rubber (discovered),counterfactual checked and rejected,0.0,0.0,,,manual_zero_exception,0,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry does not defend a discovered rubber slot here.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept discovered rubber disabled because no localized plantation chain or quantitative target observation survives the current provenance pass.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Northern Transvaal / Rubber (discovered) row in the proposal registry.,,,,Explicit zero retained for discovered rubber until localized plantation evidence is frozen.,adjustment-input-0082,active,,0,,baseline row
Northern Transvaal,Rubber (undiscovered),counterfactual checked and rejected,0.0,0.0,,,manual_zero_exception,0,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry rejects a latent rubber slot here; broad tropical suitability is not enough to keep the cap enabled.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept undiscovered rubber disabled because the current package still lacks a localized plantation chain or quantitative target observation strong enough to defend a latent rubber slot.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Northern Transvaal / Rubber (undiscovered) row in the proposal registry.,,,,Explicit zero retained for undiscovered rubber until a localized plantation evidence chain is frozen.,adjustment-input-0083,active,,0,,baseline row
Transorangia,Arable Land,,0.0,0.0,,,,,,,1936,,Arable land capacity is audited as broad plausible 1936 commercial potential rather than GDP-selected realized output.,supports,Land-capacity model replaces the old output-gap reconstruction for arable rows.,pass,Observed x is direct effective commercial agricultural hectares from audited land-class rows.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,direct,Land-capacity model uses direct effective commercial hectares; legacy output-gap uplift is retired.,,,,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,Transorangia section; ranching-heavy mixed-farming profile with wheat and maize support.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,Transorangia comparator basket and weighted agricultural matches.,Arable now uses direct land-capacity x with no legacy output-gap Y or GDP/output smoothing.,adjustment-input-0084,active,,0,,baseline row
Transorangia,Fishing,,0,0.0,,,manual_zero_exception,0,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,,adjustment-input-0085,active,,0,,baseline row
Transorangia,Gold Mine,counterfactual checked and rejected,0.0,0.0,,,manual_zero_exception,0,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry rejects a standalone gold-mine slot here; any gold-family logic for this state stays out of the capped row until direct target evidence is frozen.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept the gold-mine slot at zero because there is no frozen target observation for a commercial gold-mine row in this state and the proposal registry does not defend one for the 1836-1936 horizon.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Transorangia / Gold Mine row in the proposal registry.,mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,Use alongside the proposal registry for state-level mining plausibility checks.,Explicit zero retained for Gold Mine despite a live comparator family because the target-side evidence chain is still absent.,adjustment-input-0086,active,,0,,baseline row
Transorangia,Iron Mine,,0,0.0,,,manual_zero_exception,0,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,,adjustment-input-0087,superseded,,0,2026-04-22,Superseded by adjustment-input-0181 during the Transorangia state pass.
Transorangia,Lead Mine,,0,0.0,,,manual_zero_exception,0,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,,adjustment-input-0088,active,,0,,baseline row
Transorangia,Sulfur Mine,,0,0.0,,,manual_zero_exception,0,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,,adjustment-input-0089,active,,0,,baseline row
Transorangia,Whaling,counterfactual checked and rejected,0.0,0.0,,,manual_zero_exception,0,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry rejects a whaling slot here after checking the state against the family-level South Atlantic and Cape/Namibia whaling logic.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept whaling disabled because the reviewed proposal registry and fisheries research do not identify this state as a meaningful commercial whaling producer in the 1836-1936 horizon.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Transorangia / Whaling row in the proposal registry.,agriculture and fisheries research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Whaling section: keep the family on the Atlantic and Cape side, not as a generic slot for the whole coast or inland states.",Explicit zero retained for whaling because the state fails the commercial whaling slot test.,adjustment-input-0090,active,,0,,baseline row
Transorangia,Wood,,0,0.0,,,manual_zero_exception,0,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,,adjustment-input-0091,active,,0,,baseline row
Transorangia,Gold Fields (discovered),,0,0.0,,,manual_zero_exception,0,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,,adjustment-input-0092,superseded,,0,2026-04-22,Superseded by adjustment-input-0182 during the Transorangia state pass.
Transorangia,Oil (discovered),counterfactual checked and rejected,0.0,0.0,,,manual_zero_exception,0,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Transorangia / Oil (discovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.,adjustment-input-0093,active,,0,,baseline row
Transorangia,Oil (undiscovered),counterfactual checked and rejected,0.0,0.0,,,manual_zero_exception,0,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Transorangia / Oil (undiscovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.,adjustment-input-0094,active,,0,,baseline row
Transorangia,Rubber (discovered),counterfactual checked and rejected,0.0,0.0,,,manual_zero_exception,0,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry does not defend a discovered rubber slot here.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept discovered rubber disabled because no localized plantation chain or quantitative target observation survives the current provenance pass.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Transorangia / Rubber (discovered) row in the proposal registry.,,,,Explicit zero retained for discovered rubber until localized plantation evidence is frozen.,adjustment-input-0095,active,,0,,baseline row
Transorangia,Rubber (undiscovered),counterfactual checked and rejected,0.0,0.0,,,manual_zero_exception,0,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry rejects a latent rubber slot here; broad tropical suitability is not enough to keep the cap enabled.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept undiscovered rubber disabled because the current package still lacks a localized plantation chain or quantitative target observation strong enough to defend a latent rubber slot.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Transorangia / Rubber (undiscovered) row in the proposal registry.,,,,Explicit zero retained for undiscovered rubber until a localized plantation evidence chain is frozen.,adjustment-input-0096,active,,0,,baseline row
Drakensberg,Arable Land,,0.0,0.0,,,,,,,1936,,Arable land capacity is audited as broad plausible 1936 commercial potential rather than GDP-selected realized output.,supports,Land-capacity model replaces the old output-gap reconstruction for arable rows.,pass,Observed x is direct effective commercial agricultural hectares from audited land-class rows.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,direct,Land-capacity model uses direct effective commercial hectares; legacy output-gap uplift is retired.,,,,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,Drakensberg section; mountain farming with wheat and stock but strong terrain limits.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,Drakensberg comparator basket and weighted agricultural matches.,Arable now uses direct land-capacity x with no legacy output-gap Y or GDP/output smoothing.,adjustment-input-0097,active,,0,,baseline row
Drakensberg,Fishing,,0,0.0,,,manual_zero_exception,0,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,,adjustment-input-0098,superseded,,0,2026-04-22,Superseded by adjustment-input-0185 during the Drakensberg state pass.
Drakensberg,Gold Mine,counterfactual checked and rejected,0.0,0.0,,,manual_zero_exception,0,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry rejects a standalone gold-mine slot here; any gold-family logic for this state stays out of the capped row until direct target evidence is frozen.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept the gold-mine slot at zero because there is no frozen target observation for a commercial gold-mine row in this state and the proposal registry does not defend one for the 1836-1936 horizon.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Drakensberg / Gold Mine row in the proposal registry.,mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,Use alongside the proposal registry for state-level mining plausibility checks.,Explicit zero retained for Gold Mine despite a live comparator family because the target-side evidence chain is still absent.,adjustment-input-0099,active,,0,,baseline row
Drakensberg,Iron Mine,,0,0.0,,,manual_zero_exception,0,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,,adjustment-input-0100,superseded,,0,2026-04-22,Superseded by adjustment-input-0186 during the Drakensberg state pass.
Drakensberg,Lead Mine,,0,0.0,,,manual_zero_exception,0,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,,adjustment-input-0101,active,,0,,baseline row
Drakensberg,Sulfur Mine,,0,0.0,,,manual_zero_exception,0,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,,adjustment-input-0102,active,,0,,baseline row
