target_state,comparator,rank,weight,effective_commercial_hectares,effective_hectares_per_cap,comparator_included_in_denominator,included_reason,capacity_note
Zambezi,Kentucky,6,5,9900000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Zambezi; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Zambezi,São Paulo,7,5,7149999.999999999,54999.99999999999,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Zambezi; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Zambezi,Mato Grosso do Sul,8,5,3300000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Zambezi; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Zambezi,,9,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Zambezi,Corrientes,10,5,6600000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Zambezi; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Zambezi,Misiones Province,11,2,6600000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Zambezi; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Zambezi,,12,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Zambezi,,13,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Zambezi,,14,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Zambezi,Tennessee,15,2,9900000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Zambezi; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Zambezi,Entre Ríos,16,1,6600000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Zambezi; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Zambezi,,17,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Zambezi,Queensland,18,1,1100000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Zambezi; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Zambezi,,19,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Zambezi,,20,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Hereroland,Northern Territory,1,10,600000.0,60000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Hereroland; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Hereroland,Queensland,2,10,1200000.0,60000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Hereroland; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Hereroland,,3,10,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Hereroland,,4,10,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Hereroland,,5,10,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Hereroland,,6,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Hereroland,,7,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Hereroland,Mato Grosso,8,5,3600000.0,60000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Hereroland; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Hereroland,Goiás,9,5,2400000.0,60000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Hereroland; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Hereroland,,10,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Hereroland,,11,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Hereroland,,12,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Hereroland,,13,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Hereroland,,14,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Hereroland,,15,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Hereroland,,16,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Hereroland,Chaco Province,17,1,3600000.0,60000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Hereroland; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Hereroland,Formosa Province,18,1,4800000.0,60000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Hereroland; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Hereroland,Bahia,19,1,4800000.0,60000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Hereroland; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Hereroland,Maranhão,20,1,1800000.0,60000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Hereroland; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Namaqualand,,1,10,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Namaqualand,Nevada,2,10,2480000.0,62000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Namaqualand; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Namaqualand,,3,10,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Namaqualand,Arizona,4,10,2480000.0,62000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Namaqualand; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Namaqualand,Coquimbo Region,5,10,620000.0,62000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Namaqualand; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Namaqualand,Antofagasta Region,6,5,620000.0,62000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Namaqualand; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Namaqualand,Utah,7,5,3100000.0,62000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Namaqualand; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Namaqualand,New Mexico,8,5,2480000.0,62000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Namaqualand; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Namaqualand,,9,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Namaqualand,,10,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Namaqualand,,11,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Namaqualand,South Australia,12,2,1860000.0,62000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Namaqualand; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Namaqualand,Western Australia,13,2,1860000.0,62000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Namaqualand; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Namaqualand,San Juan Province,14,2,7440000.0,62000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Namaqualand; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Namaqualand,La Rioja Province,15,2,7440000.0,62000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Namaqualand; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Namaqualand,,16,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Namaqualand,,17,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Namaqualand,,18,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Namaqualand,,19,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Namaqualand,Northern Territory,20,1,620000.0,62000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Namaqualand; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
